name,code,protocol,bits
Jamo DMR 60,0x02FD00FF,NEC,32
Jamo DMR 60,0x02FD4BB4,NEC,32
Jamo DMR 60,0x02FD4FB0,NEC,32
Jamo DMR 60,0x02FD02FD,NEC,32
Jamo DMR 60,0x02FD0BF4,NEC,32
Jamo DMR 60,0x02FD12ED,NEC,32
Jamo DMR 60,0x02FD10EF,NEC,32
Jamo DMR 60,0x02FD0FF0,NEC,32
Jamo DMR 60,0x02FD0EF1,NEC,32
Jamo DMR 60,0x02FD13EC,NEC,32
Jamo DMR 60,0x02FD0DF2,NEC,32
Jamo DMR 60,0x02FD5BA4,NEC,32
Jamo DMR 60,0x02FD5CA3,NEC,32
Jamo DMR 60,0x02FD5DA2,NEC,32
Jamo DMR 60,0x02FD5EA1,NEC,32
Jamo DMR 60,0x02FD06F9,NEC,32
Jamo DMR 60,0x02FD08F7,NEC,32
Jamo DMR 60,0x02FD09F6,NEC,32
Jamo DMR 60,0x02FD52AD,NEC,32
Jamo DMR 60,0x02FD50AF,NEC,32
Jamo DMR 60,0x02FD54AB,NEC,32
Jamo DMR 60,0x02FD57A8,NEC,32
Jamo DMR 60,0x02FD16E9,NEC,32
Jamo DMR 60,0x02FD51AE,NEC,32
Jamo DMR 60,0x02FD4DB2,NEC,32
Jamo DMR 60,0x02FD14EB,NEC,32
Jamo DMR 60,0x02FD17E8,NEC,32
Jamo DMR 60,0x02FD41BE,NEC,32
Jamo DMR 60,0x02FD40BF,NEC,32
Jamo DMR 60,0x02FD49B6,NEC,32
Jamo DMR 60,0x02FD4AB5,NEC,32
